lr,bs,epochs,activation,fc,train,validate,test
0.01,100,5000,tanh,[],96.0,71.0,65.0
0.01,100,5000,tanh,[50],100.0,76.0,74.0
0.01,100,5000,tanh,"[100, 50]",100.0,72.0,78.0
0.01,100,5000,tanh,"[100, 500, 50]",96.25,59.0,64.0
0.01,100,5000,tanh,"[100, 250, 250, 100]",100.0,63.0,71.0
0.01,100,5000,relu,[],96.0,71.0,65.0
0.01,100,5000,relu,[50],100.0,71.0,71.0
0.01,100,5000,relu,"[100, 50]",100.0,69.0,71.0
0.01,100,5000,relu,"[100, 500, 50]",10.0,10.0,10.0
0.01,100,5000,relu,"[100, 250, 250, 100]",10.0,10.0,10.0
0.01,200,5000,tanh,[],95.5,70.0,65.0
0.01,200,5000,tanh,[50],100.0,73.0,76.0
0.01,200,5000,tanh,"[100, 50]",100.0,73.0,74.0
0.01,200,5000,tanh,"[100, 500, 50]",100.0,74.0,77.0
0.01,200,5000,tanh,"[100, 250, 250, 100]",100.0,74.0,76.0
0.01,200,5000,relu,[],95.5,70.0,65.0
0.01,200,5000,relu,[50],100.0,66.0,72.0
0.01,200,5000,relu,"[100, 50]",100.0,72.0,77.0
0.01,200,5000,relu,"[100, 500, 50]",100.0,62.0,68.0
0.01,200,5000,relu,"[100, 250, 250, 100]",10.0,10.0,10.0
0.005,100,5000,tanh,[],95.125,69.0,68.0
0.005,100,5000,tanh,[50],100.0,72.0,69.0
0.005,100,5000,tanh,"[100, 50]",100.0,69.0,81.0
0.005,100,5000,tanh,"[100, 500, 50]",100.0,73.0,81.0
0.005,100,5000,tanh,"[100, 250, 250, 100]",100.0,66.0,71.0
0.005,100,5000,relu,[],95.125,69.0,68.0
0.005,100,5000,relu,[50],100.0,74.0,75.0
0.005,100,5000,relu,"[100, 50]",100.0,74.0,76.0
0.005,100,5000,relu,"[100, 500, 50]",100.0,66.0,68.0
0.005,100,5000,relu,"[100, 250, 250, 100]",100.0,67.0,70.0
0.005,200,5000,tanh,[],94.875,67.0,68.0
0.005,200,5000,tanh,[50],100.0,71.0,75.0
0.005,200,5000,tanh,"[100, 50]",100.0,73.0,74.0
0.005,200,5000,tanh,"[100, 500, 50]",100.0,75.0,80.0
0.005,200,5000,tanh,"[100, 250, 250, 100]",100.0,75.0,79.0
0.005,200,5000,relu,[],94.875,67.0,68.0
0.005,200,5000,relu,[50],100.0,71.0,68.0
0.005,200,5000,relu,"[100, 50]",100.0,68.0,78.0
0.005,200,5000,relu,"[100, 500, 50]",100.0,68.0,78.0
0.005,200,5000,relu,"[100, 250, 250, 100]",99.375,56.99999999999999,61.0
