lr,bs,epochs,activation,fc,train,validate,test
0.01,100,1000,tanh,[],100.0,72.72727272727273,62.62626262626263
0.01,100,1000,tanh,[50],100.0,75.75757575757575,62.62626262626263
0.01,100,1000,tanh,"[100, 50]",100.0,76.76767676767676,69.6969696969697
0.01,100,1000,tanh,"[100, 500, 50]",100.0,74.74747474747475,66.66666666666666
0.01,100,1000,tanh,"[100, 250, 250, 100]",100.0,75.75757575757575,67.67676767676768
0.01,100,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",63.54556803995006,55.55555555555556,59.59595959595959
0.01,100,1000,relu,[],100.0,71.71717171717171,62.62626262626263
0.01,100,1000,relu,[50],100.0,79.7979797979798,66.66666666666666
0.01,100,1000,relu,"[100, 50]",100.0,76.76767676767676,69.6969696969697
0.01,100,1000,relu,"[100, 500, 50]",100.0,73.73737373737373,68.68686868686868
0.01,100,1000,relu,"[100, 250, 250, 100]",9.987515605493133,10.1010101010101,10.1010101010101
0.01,100,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",59.925093632958806,45.45454545454545,39.39393939393939
0.01,100,3000,tanh,[],100.0,67.67676767676768,58.58585858585859
0.01,100,3000,tanh,[50],100.0,69.6969696969697,60.60606060606061
0.01,100,3000,tanh,"[100, 50]",100.0,74.74747474747475,66.66666666666666
0.01,100,3000,tanh,"[100, 500, 50]",100.0,70.70707070707071,70.70707070707071
0.01,100,3000,tanh,"[100, 250, 250, 100]",99.87515605493134,67.67676767676768,63.63636363636363
0.01,100,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",61.173533083645445,51.515151515151516,48.484848484848484
0.01,100,3000,relu,[],100.0,66.66666666666666,57.57575757575758
0.01,100,3000,relu,[50],100.0,75.75757575757575,67.67676767676768
0.01,100,3000,relu,"[100, 50]",94.25717852684144,68.68686868686868,68.68686868686868
0.01,100,3000,relu,"[100, 500, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.01,100,3000,relu,"[100, 250, 250, 100]",9.987515605493133,10.1010101010101,10.1010101010101
0.01,100,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",19.72534332084894,20.2020202020202,19.19191919191919
0.01,200,1000,tanh,[],100.0,71.71717171717171,65.65656565656566
0.01,200,1000,tanh,[50],100.0,73.73737373737373,73.73737373737373
0.01,200,1000,tanh,"[100, 50]",100.0,74.74747474747475,69.6969696969697
0.01,200,1000,tanh,"[100, 500, 50]",100.0,73.73737373737373,67.67676767676768
0.01,200,1000,tanh,"[100, 250, 250, 100]",100.0,74.74747474747475,63.63636363636363
0.01,200,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",80.02496878901373,53.535353535353536,54.54545454545454
0.01,200,1000,relu,[],100.0,71.71717171717171,64.64646464646465
0.01,200,1000,relu,[50],100.0,75.75757575757575,70.70707070707071
0.01,200,1000,relu,"[100, 50]",100.0,77.77777777777779,70.70707070707071
0.01,200,1000,relu,"[100, 500, 50]",100.0,73.73737373737373,65.65656565656566
0.01,200,1000,relu,"[100, 250, 250, 100]",100.0,73.73737373737373,68.68686868686868
0.01,200,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",72.03495630461923,35.35353535353536,40.4040404040404
0.01,200,3000,tanh,[],100.0,71.71717171717171,63.63636363636363
0.01,200,3000,tanh,[50],100.0,74.74747474747475,66.66666666666666
0.01,200,3000,tanh,"[100, 50]",100.0,74.74747474747475,67.67676767676768
0.01,200,3000,tanh,"[100, 500, 50]",100.0,75.75757575757575,70.70707070707071
0.01,200,3000,tanh,"[100, 250, 250, 100]",100.0,71.71717171717171,71.71717171717171
0.01,200,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,54.54545454545454,58.58585858585859
0.01,200,3000,relu,[],100.0,70.70707070707071,63.63636363636363
0.01,200,3000,relu,[50],100.0,73.73737373737373,70.70707070707071
0.01,200,3000,relu,"[100, 50]",100.0,77.77777777777779,67.67676767676768
0.01,200,3000,relu,"[100, 500, 50]",10.112359550561797,9.090909090909092,9.090909090909092
0.01,200,3000,relu,"[100, 250, 250, 100]",10.112359550561797,9.090909090909092,9.090909090909092
0.01,200,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",21.22347066167291,19.19191919191919,22.22222222222222
0.01,300,1000,tanh,[],92.75905118601749,74.74747474747475,63.63636363636363
0.01,300,1000,tanh,[50],93.63295880149812,78.78787878787878,71.71717171717171
0.01,300,1000,tanh,"[100, 50]",94.13233458177278,72.72727272727273,68.68686868686868
0.01,300,1000,tanh,"[100, 500, 50]",93.25842696629213,74.74747474747475,63.63636363636363
0.01,300,1000,tanh,"[100, 250, 250, 100]",92.63420724094883,73.73737373737373,63.63636363636363
0.01,300,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",90.13732833957553,60.60606060606061,59.59595959595959
0.01,300,1000,relu,[],93.13358302122347,75.75757575757575,61.61616161616161
0.01,300,1000,relu,[50],93.75780274656678,78.78787878787878,69.6969696969697
0.01,300,1000,relu,"[100, 50]",94.50686641697878,74.74747474747475,68.68686868686868
0.01,300,1000,relu,"[100, 500, 50]",94.00749063670412,84.84848484848484,64.64646464646465
0.01,300,1000,relu,"[100, 250, 250, 100]",93.50811485642946,80.8080808080808,68.68686868686868
0.01,300,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",18.85143570536829,15.151515151515152,18.181818181818183
0.01,300,3000,tanh,[],92.63420724094883,74.74747474747475,60.60606060606061
0.01,300,3000,tanh,[50],93.75780274656678,70.70707070707071,63.63636363636363
0.01,300,3000,tanh,"[100, 50]",93.88264669163546,74.74747474747475,65.65656565656566
0.01,300,3000,tanh,"[100, 500, 50]",93.50811485642946,77.77777777777779,64.64646464646465
0.01,300,3000,tanh,"[100, 250, 250, 100]",93.00873907615481,78.78787878787878,61.61616161616161
0.01,300,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",89.76279650436953,62.62626262626263,58.58585858585859
0.01,300,3000,relu,[],92.50936329588015,75.75757575757575,64.64646464646465
0.01,300,3000,relu,[50],93.88264669163546,76.76767676767676,66.66666666666666
0.01,300,3000,relu,"[100, 50]",94.3820224719101,77.77777777777779,65.65656565656566
0.01,300,3000,relu,"[100, 500, 50]",94.25717852684144,74.74747474747475,66.66666666666666
0.01,300,3000,relu,"[100, 250, 250, 100]",92.50936329588015,74.74747474747475,75.75757575757575
0.01,300,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",57.30337078651685,34.34343434343434,27.27272727272727
0.005,100,1000,tanh,[],100.0,71.71717171717171,62.62626262626263
0.005,100,1000,tanh,[50],100.0,77.77777777777779,69.6969696969697
0.005,100,1000,tanh,"[100, 50]",100.0,77.77777777777779,72.72727272727273
0.005,100,1000,tanh,"[100, 500, 50]",100.0,79.7979797979798,64.64646464646465
0.005,100,1000,tanh,"[100, 250, 250, 100]",100.0,69.6969696969697,67.67676767676768
0.005,100,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,65.65656565656566,56.56565656565656
0.005,100,1000,relu,[],100.0,72.72727272727273,60.60606060606061
0.005,100,1000,relu,[50],100.0,79.7979797979798,62.62626262626263
0.005,100,1000,relu,"[100, 50]",100.0,79.7979797979798,69.6969696969697
0.005,100,1000,relu,"[100, 500, 50]",100.0,80.8080808080808,68.68686868686868
0.005,100,1000,relu,"[100, 250, 250, 100]",100.0,75.75757575757575,66.66666666666666
0.005,100,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,75.75757575757575,65.65656565656566
0.005,100,3000,tanh,[],100.0,68.68686868686868,61.61616161616161
0.005,100,3000,tanh,[50],100.0,70.70707070707071,62.62626262626263
0.005,100,3000,tanh,"[100, 50]",100.0,75.75757575757575,63.63636363636363
0.005,100,3000,tanh,"[100, 500, 50]",100.0,76.76767676767676,73.73737373737373
0.005,100,3000,tanh,"[100, 250, 250, 100]",100.0,73.73737373737373,67.67676767676768
0.005,100,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,65.65656565656566,61.61616161616161
0.005,100,3000,relu,[],100.0,68.68686868686868,61.61616161616161
0.005,100,3000,relu,[50],100.0,73.73737373737373,66.66666666666666
0.005,100,3000,relu,"[100, 50]",100.0,78.78787878787878,75.75757575757575
0.005,100,3000,relu,"[100, 500, 50]",100.0,78.78787878787878,64.64646464646465
0.005,100,3000,relu,"[100, 250, 250, 100]",99.00124843945068,76.76767676767676,65.65656565656566
0.005,100,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.005,200,1000,tanh,[],100.0,72.72727272727273,63.63636363636363
0.005,200,1000,tanh,[50],100.0,76.76767676767676,64.64646464646465
0.005,200,1000,tanh,"[100, 50]",100.0,75.75757575757575,68.68686868686868
0.005,200,1000,tanh,"[100, 500, 50]",100.0,77.77777777777779,71.71717171717171
0.005,200,1000,tanh,"[100, 250, 250, 100]",100.0,76.76767676767676,68.68686868686868
0.005,200,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",99.87515605493134,63.63636363636363,61.61616161616161
0.005,200,1000,relu,[],100.0,70.70707070707071,62.62626262626263
0.005,200,1000,relu,[50],100.0,80.8080808080808,71.71717171717171
