lr,bs,epochs,fc,convs,train,validate,test
0.01,100,500,[],"([], [], [])",99.37578027465668,51.515151515151516,52.52525252525253
0.01,100,500,[],"([50], [50], [20])",98.62671660424469,48.484848484848484,40.4040404040404
0.01,100,500,[],"([50, 50], [40, 10], [20, 5])",71.91011235955057,38.38383838383838,35.35353535353536
0.01,100,500,[100],"([], [], [])",58.30212234706617,38.38383838383838,35.35353535353536
0.01,100,500,[100],"([50], [50], [20])",73.5330836454432,40.4040404040404,36.36363636363637
0.01,100,500,[100],"([50, 50], [40, 10], [20, 5])",75.03121098626715,41.41414141414141,34.34343434343434
0.01,100,500,"[128, 512, 1024]","([], [], [])",31.086142322097377,27.27272727272727,21.21212121212121
0.01,100,500,"[128, 512, 1024]","([50], [50], [20])",49.43820224719101,31.313131313131315,28.28282828282828
0.01,100,500,"[128, 512, 1024]","([50, 50], [40, 10], [20, 5])",43.07116104868914,26.262626262626267,27.27272727272727
0.005,128,700,[],"([], [], [])",97.12858926342072,55.55555555555556,46.464646464646464
0.005,128,700,[],"([50], [20], [5])",97.62796504369538,43.43434343434344,45.45454545454545
0.005,128,700,[],"([50, 50], [40, 10], [10, 5])",98.12734082397003,50.505050505050505,45.45454545454545
0.005,128,700,[224],"([], [], [])",72.03495630461923,37.37373737373738,27.27272727272727
0.005,128,700,[224],"([50], [20], [5])",65.54307116104869,34.34343434343434,40.4040404040404
0.005,128,700,[224],"([50, 50], [40, 10], [10, 5])",97.75280898876404,43.43434343434344,37.37373737373738
0.005,128,700,"[224, 50]","([], [], [])",63.670411985018724,29.292929292929294,30.303030303030305
0.005,128,700,"[224, 50]","([50], [20], [5])",81.39825218476904,44.44444444444444,38.38383838383838
0.005,128,700,"[224, 50]","([50, 50], [40, 10], [10, 5])",98.25218476903869,41.41414141414141,41.41414141414141
